Subject	Time	Site	Organism	Recip_Ct
P24	21	Saliva	Td	0.030473868657626
P25	21	Saliva	Td	0.033366700033367
P11	35	Tongue	Td	0.025
P12	35	Tongue	Td	0.025
P13	35	Tongue	Td	0.025
P14	35	Tongue	Td	0.025
P15	35	Tongue	Td	0.025
P16	35	Tongue	Td	0.025
P17	35	Tongue	Td	0.02592688618097
P18	35	Tongue	Td	0.025647601949218
P19	35	Tongue	Td	0.026113069591331
P20	35	Tongue	Td	0.026925148088315
P21	35	Tongue	Td	0.025
P22	35	Tongue	Td	0.025799793601651
P23	35	Tongue	Td	0.025
P24	35	Tongue	Td	0.025853154084798
P25	35	Tongue	Td	0.027658691743881
P11	35	Saliva	Td	0.026521681474606
P12	35	Saliva	Td	0.027453671928621
P13	35	Saliva	Td	0.025
P14	35	Saliva	Td	0.025
P15	35	Saliva	Td	0.028236622899901
P16	35	Saliva	Td	0.025
P17	35	Saliva	Td	0.030312215822977
P18	35	Saliva	Td	0.034417484081914
P19	35	Saliva	Td	0.028421202216854
P20	35	Saliva	Td	0.030515715593531
P21	35	Saliva	Td	0.025
P22	35	Saliva	Td	0.029398794649419
P23	35	Saliva	Td	0.027122321670735
P24	35	Saliva	Td	0.027371014096072
P25	35	Saliva	Td	0.035398230088496
P11	-7	Tongue	Pg	0.032010243277849
P12	-7	Tongue	Pg	0.031055900621118
P13	-7	Tongue	Pg	0.03166059838531
P14	-7	Tongue	Pg	0.025
P15	-7	Tongue	Pg	0.033607797008906
P16	-7	Tongue	Pg	0.025
P17	-7	Tongue	Pg	0.030978934324659
P18	-7	Tongue	Pg	0.031560675398454
P19	-7	Tongue	Pg	0.034812880765883
P20	-7	Tongue	Pg	0.035050823694357
P21	-7	Tongue	Pg	0.033428046130704
P22	-7	Tongue	Pg	0.030048076923077
P23	-7	Tongue	Pg	0.032701111837803
P24	-7	Tongue	Pg	0.034305317324185
P25	-7	Tongue	Pg	0.029351335485765
P11	-7	Saliva	Pg	0.032123353678124
P12	-7	Saliva	Pg	0.030964545595293
P13	-7	Saliva	Pg	0.028694404591105
P14	-7	Saliva	Pg	0.029859659599881
P15	-7	Saliva	Pg	0.032221685194136
P16	-7	Saliva	Pg	0.028538812785388
P17	-7	Saliva	Pg	0.035137034434294
P18	-7	Saliva	Pg	0.034217279726262
