"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"02976e0f2393ae307c4ced2b4698a562"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0297e31660c5c4a23fa57286fd21a320"	0.0663035584526113	0.0689871107174382	NA	NA	0.0269674449047812	NA	NA	0.0210040143541001	0.268119967447811	0.267832312197113	NA	NA
"029d97687d87f20509008eb790e2e97d"	NA	NA	0.781618475550155	NA	NA	0.000423981897444291	NA	NA	NA	NA	0.910217312522388	NA
"02a1eb55e89845e312c02c52663c93e3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02ae2ef0d8542cbb85fabb12f3c78ee3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02ae762d28de3ffaf200ba0e8d5b330f"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02b033d2804d710a767ec7434947b793"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02b53e1fc5a08ee498cdb64fcb976676"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02b6e1142ee56e77495be3d07c3c5116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02c49ef1f6e7968189e9b519cdf179b7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02ce69cf21050622719d88f76308a205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02d5fe3bd20c3ef59de324e449d5ad5c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02ddb18d366bcf8592c65ecffb1de7b8"	0.673994814609762	0.160870003549361	NA	NA	-0.0130132085975396	NA	NA	-0.00415369260205656	0.837131656092368	0.358716720617999	NA	NA
"02dff0cfbdd8fb38d497e1b979af1e44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02e12782b77556ca77f783f47b52013f"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02e30bfe3f0c7b1a0e9b8edb4e932ed2"	0.524034550919001	0.117317029256208	0.466035308593101	0.999717650310286	0.0185262597081941	0.0122314791640129	8.59990610746735e-06	-0.0104396629968226	0.721702943260225	0.345043763583002	0.707791124925772	0.999717650310286
"02e363a5c67400862404b150f04e7623"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02e4146513156d6543ceaef4a495865c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02eb8b4ae370efd2b5b343af8c7972bb"	NA	NA	0.0981000542636684	NA	NA	-0.0144672541285521	NA	NA	NA	NA	0.431678020486072	NA
"02eed3fed2b043713b317d5305bcf279"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02fb4ff8c2163b13680a9936e7d343a9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0301aacf66653ebed245fb8b806c5c64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03030077c58025177e7e103ce12a6995"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"030d16494cdab3bbb5a2a5ca2d22f903"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"030f5b195be519250222338dd046ba63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"031108973c26247ba03a35283c643211"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"031354a60436f74de0266a03342c0fab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0315a6cfe4b0f5be773556fc3acb9057"	NA	NA	0.0994966807552078	0.113877038105445	NA	-0.0227040690465278	-0.0165709161671295	NA	NA	NA	0.431678020486072	0.574858058310773
"0327cb27ecfa4bc80cbd799a75d8edd2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"033a8056f55c551d112dd6f99fd92538"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"033bfd5f7669e4a1705846b8420a8fb8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0344e6b37026e7778419df80c1d81882"	NA	NA	0.00764639841287637	NA	NA	-0.000401236385696462	NA	NA	NA	NA	0.151620652122576	NA
"0353e395edfef1633a545f5692a0f77b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0357b97cfd9f731512fc1a0ba8fd3112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"035e787b8bab44a98deb927182a46905"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"036a17fcc577eab1e8be5fd2f98edb4e"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"036d61f15d7c594d98e6d5cbd6d2c650"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"036f455b81dc4d90d9b7ec0e4645f950"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"036ff4689e50c46dbb22b1605b36c5be"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03714528e703b0b6444bcd7f441ca319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03772f8d3c28552ea5216237b4f9215d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"037752337f445aaab1018f3be9ca60b5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03923319b082e0080d8aeb821283d8c6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0395b9b1667b67ed1cdaa9080f6b141f"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0397ec40f18ffb0a00014043df61e1ae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03a6d519f21e52be7af2b9300b0aff63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03ab018655cc71f81d5dc0a4d963fcc4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03b0cbc6c58832c400e0396b6edc2ba6"	0.5259671204912	0.0360414034981921	NA	NA	-0.0165378600717231	NA	NA	0.00603002196074504	0.722404096479794	0.188565454571384	NA	NA
"03b2b9e226a472e4646ce4ac9ca8d107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03bc653c8064d5b2f50c9bce6dfbe18b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
